source_string,code_system,concept_id,concept_name,domain_id,vocabulary_id,mapping_version,decided_by,decided_on,note
50843,SOURCE,3008581,Lactate dehydrogenase [Enzymatic activity/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50843 'Lactate Dehydrogenase, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50844,SOURCE,3045996,Lipase [Enzymatic activity/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50844 'Lipase, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50846,SOURCE,3016937,Osmolality of Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50846 'Osmolality, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50847,SOURCE,3029821,Potassium [Moles/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50847 'Potassium, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50848,SOURCE,3033042,Sodium [Moles/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50848 'Sodium, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50849,SOURCE,3002331,Protein [Mass/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50849 'Total Protein, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50850,SOURCE,3023386,Triglyceride [Mass/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50850 'Triglycerides, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50851,SOURCE,3006866,Urea nitrogen [Mass/volume] in Peritoneal fluid,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50851 'Urea Nitrogen, Ascites' (Ascites; Chemistry); community mapping, imported 2026-09-11"
50852,SOURCE,3004410,Hemoglobin A1c/Hemoglobin.total in Blood,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50852 '% Hemoglobin A1c' (Blood; Chemistry); community mapping, imported 2026-09-11"
50853,SOURCE,3020149,25-hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,Measurement,LOINC,1,MIT-LCP mimic-code d_labitems_to_loinc (SSSOM),2022-03-01,"MIMIC-IV d_labitems itemid 50853 '25-OH Vitamin D' (Blood; Chemistry); community mapping, imported 2026-09-11"
